year,july_avg_temp_f
1990,77.3
1991,71.0
1992,75.8
1993,72.9
1994,73.6
1995,75.7
1996,75.1
1997,73.2
1998,76.2
1999,71.8
2000,72.2
2001,70.9
2002,72.3
2003,75.4
2004,73.0
2005,73.0
2006,79.9
2007,74.2
2008,73.6
2009,74.0
2010,71.9
2011,72.1
2012,70.5
2013,72.4
2014,75.2
2015,73.7
2016,75.1
2017,76.4
2018,78.8
2019,74.4
2020,72.2
2021,74.9
2022,72.4
2023,75.1
2024,74.5
2025,71.5
